,symbol,numShares,date
548,KR,-100.0,2009-11-25 00:00:00
549,HSY,-100.0,2009-12-01 00:00:00
550,LTD,-100.0,2009-12-02 00:00:00
551,YHOO,-100.0,2009-12-02 00:00:00
552,HSY,-100.0,2009-12-03 00:00:00
553,C,100.0,2009-12-14 00:00:00
554,TAP,100.0,2009-12-14 00:00:00
555,XOM,100.0,2009-12-14 00:00:00
556,AMGN,100.0,2009-12-16 00:00:00
557,CELG,100.0,2009-12-16 00:00:00
558,ESRX,100.0,2009-12-16 00:00:00
559,STZ,100.0,2009-12-16 00:00:00
560,USB,100.0,2009-12-16 00:00:00
561,WMT,100.0,2009-12-16 00:00:00
562,APD,100.0,2009-12-21 00:00:00
563,C,-100.0,2009-12-21 00:00:00
564,CAG,100.0,2009-12-21 00:00:00
565,NEM,100.0,2009-12-21 00:00:00
566,PG,100.0,2009-12-21 00:00:00
567,SIAL,100.0,2009-12-21 00:00:00
568,TAP,-100.0,2009-12-21 00:00:00
569,XOM,-100.0,2009-12-21 00:00:00
570,AMGN,-100.0,2009-12-23 00:00:00
571,CELG,-100.0,2009-12-23 00:00:00
572,CTAS,100.0,2009-12-23 00:00:00
573,ESRX,-100.0,2009-12-23 00:00:00
574,STZ,-100.0,2009-12-23 00:00:00
575,TWC,100.0,2009-12-23 00:00:00
576,USB,-100.0,2009-12-23 00:00:00
577,WMT,-100.0,2009-12-23 00:00:00
578,HAR,100.0,2009-12-28 00:00:00
579,APD,-100.0,2009-12-29 00:00:00
580,CAG,-100.0,2009-12-29 00:00:00
581,NEM,-100.0,2009-12-29 00:00:00
582,PG,-100.0,2009-12-29 00:00:00
583,SIAL,-100.0,2009-12-29 00:00:00
584,CTAS,-100.0,2009-12-30 00:00:00
585,HAR,-100.0,2009-12-30 00:00:00
586,TWC,-100.0,2009-12-30 00:00:00
